Company_Name,Start_Date,End_Date,lastPrice,Std_Dev,Beta,avgForcast
STAR,2021-01-01,2023-09-29,816.75,0.02610198909171081,1.0686304162562763,751.5
FIEMIND,2021-01-01,2023-09-29,1138.0,0.030710016837078413,1.069334575138171,1316.75
KABRAEXTRU,2021-01-01,2023-09-29,352.8,0.03843273118984376,1.0698761067341285,####
BANSWRAS,2021-01-01,2023-09-29,152.5,0.03465068981163552,1.0699474813323262,####
INDORAMA,2021-01-01,2023-09-29,49.25,0.032589034065387344,1.0700709870676306,####
RANASUG,2021-01-01,2023-09-29,23.0,0.036491815092030915,1.0701850777003492,####
ROHLTD,2021-01-01,2023-09-29,391.55,0.03246815141079306,1.0705070681401077,535.0
JPPOWER,2021-01-01,2023-11-08,17.25,0.037931530643888364,1.0710664331629298,####
STLTECH,2021-01-01,2023-09-29,133.5,0.02603174574163255,1.0714682994108906,127.0
RENUKA,2021-01-01,2023-09-29,45.35,0.03717299820604023,1.0718686357385372,####
MAGADSUGAR,2021-01-01,2023-09-29,615.9,0.03497256553620627,1.0720556938856485,####
SOBHA,2021-01-01,2023-09-29,1512.0,0.030172644571263358,1.0726496526894709,1575.08
YAARI,2021-01-01,2023-09-29,7.75,0.04265621292300039,1.0735021818993684,####
KARURVYSYA,2021-01-01,2023-09-29,177.6,0.025682483638812977,1.073671517009938,207.17
APOLLO,2021-01-01,2023-09-29,120.1,0.03248749439720748,1.0748541064425758,####
SUNTECK,2021-01-01,2023-09-29,457.0,0.024602231832033396,1.075320676618131,575.09
KINGFA,2021-01-01,2023-09-29,1763.9,0.034369139051708866,1.0760898262350125,####
LIKHITHA,2021-01-01,2023-09-29,257.45,0.02947972308136406,1.0764789406696444,####
SANGHVIMOV,2021-01-01,2023-09-29,1084.0,0.03296802986657952,1.076688287018547,####
CORALFINAC,2021-01-01,2023-09-29,48.0,0.03518424187607704,1.078164469499985,####
SPARC,2021-01-01,2023-09-29,389.0,0.02951789724005066,1.079296100244034,####
DWARKESH,2021-01-01,2023-09-29,81.4,0.03156175629853422,1.0793557980870996,103.67
SANGAMIND,2021-01-01,2023-09-29,465.5,0.033763628159463065,1.08000990031476,####
HEMIPROP,2021-01-01,2023-09-29,207.6,0.027077449179409914,1.0803817660905155,####
M&M,2021-01-01,2023-09-29,1892.0,0.01790062431443779,1.0804562944460103,####
TRIL,2021-01-01,2023-09-29,342.0,0.0401321011118631,1.0838321801646666,####
ARIES,2021-01-01,2023-09-29,287.65,0.030680027830057976,1.0839296452596154,####
KAYA,2021-01-01,2023-09-29,345.0,0.032034430587875105,1.0843039423560783,####
MMTC,2021-01-01,2023-09-29,75.85,0.034828528475829436,1.0866181970810556,####
RPPINFRA,2021-01-01,2023-09-29,107.6,0.034753236795724105,1.08667490971783,####
DALBHARAT,2021-01-01,2023-09-29,1960.0,0.021142307861812416,1.0871303424029723,2586.03
EVERESTIND,2021-01-01,2023-09-29,1240.0,0.030995057978360857,1.0878483298691766,####
MURUDCERA,2021-01-01,2023-09-29,56.45,0.0320941172240779,1.0878971281620509,####
JAYBARMARU,2021-01-01,2023-09-29,125.5,0.030683871837970316,1.088314338126959,####
RUBYMILLS,2021-01-01,2023-09-29,212.75,0.03633557142501281,1.088324656440556,####
RUSHIL,2021-01-01,2023-09-29,333.0,0.034014007178239505,1.0889714225753284,####
HCC,2021-01-01,2023-09-29,39.1,0.03968223850638937,1.089756949772545,####
RCF,2021-01-01,2023-09-29,140.45,0.02944143497841795,1.0906818246065777,####
MENONBE,2021-01-01,2023-09-29,126.0,0.029644659212982687,1.0917405946405707,####
SALZERELEC,2021-01-01,2023-09-29,711.5,0.03338192866460789,1.092479771453669,####
WELSPUNLIV,2021-01-01,2023-09-29,147.75,0.029349273416813024,1.0927139536326904,198.5
INDIGO,2021-01-01,2023-09-29,3100.0,0.0211541118135819,1.0939118349453274,3467.13
IDBI,2021-01-01,2023-09-29,85.45,0.029541769178030246,1.095114632961174,####
RICOAUTO,2021-01-01,2023-09-29,140.25,0.03154053440321225,1.0953823601327723,####
TEJASNET,2021-01-01,2023-09-29,767.0,0.030818817736215053,1.0953979853225957,1025.0
TPLPLASTEH,2021-01-01,2023-09-29,62.5,0.039160630849020134,1.0957372750674683,####
ACLGATI,2021-01-01,2023-09-29,112.6,0.030649174120730382,1.096115551894123,161.67
STCINDIA,2021-01-01,2023-09-29,145.0,0.033991616839563435,1.0968447608809286,####
PERSISTENT,2021-01-01,2023-09-29,8332.05,0.02255999955578435,1.0972712823275468,7748.71
