Company_Name,Long_Term_Beta,Daily_One_Month_Range,Daily_Three_Month_Range,Weekly_One_Year_Range,Weekly_Two_Year_Range,two_Week_Two_Year_Range,Monthly_Two_Year_Range,1_month_return,12_month_return
HATSUN,0.862,0.127,0.151,-0.258,0.678,0.501,0.719,-11.037864090339644,22.29054152282951
TNTELE,0.0,0.968,0.528,0.448,0.585,1.11,1.48,-11.016950590861844,68.0
BALAJITELE,1.09,1.96,0.822,0.349,1.15,1.3,1.4,-10.938334528946044,104.05405772714718
OBCL,0.0,3.26,0.61,-0.166,0.766,1.08,0.439,-10.869565484470863,6.136139702036676
CYIENTDLM,0.0,2.95,1.42,0.0,0.0,0.0,0.0,-10.865579202861484,67.34426185735957
AHLUCONT,0.908,1.93,0.133,1.03,0.978,1.07,0.909,-10.851682470886036,100.7758554581236
VIKASLIFE,1.48,2.51,0.64,1.09,1.26,0.416,0.101,-10.833334922790527,62.12121157387836
TREEHOUSE,0.281,0.713,0.069,1.37,-0.0263,-1.57,0.799,-10.80585691587167,53.627758961680335
ADROITINFO,0.516,3.32,0.515,2.24,0.539,0.178,-0.994,-10.752687951514789,9.169316922610689
AHLEAST,0.673,2.81,1.85,0.835,0.63,0.805,0.134,-10.65426131435504,30.512934783495783
UNIDT,0.0,3.16,1.09,0.862,1.25,1.1,1.17,-10.6001139688003,8.239027935672977
ARSHIYA,1.18,0.956,0.252,3.42,2.41,3.42,2.39,-10.588236416087431,29.914530402200327
WELINV,0.702,1.58,0.997,-0.581,0.346,0.407,0.116,-10.557939914163091,173.4429787891077
GOENKA,2.58,1.58,0.264,0.264,1.2,1.57,1.43,-10.526312157057612,-14.999997615814207
PGIL,0.338,2.23,1.42,1.28,1.57,1.6,0.697,-10.487429639899084,183.51226231734543
BCLIND,0.0,6.45,1.98,1.66,1.55,0.879,1.35,-10.462631279887676,48.03482946849481
CAPLIPOINT,0.857,1.91,0.2,0.637,0.996,1.23,1.34,-10.43283362834442,109.48573232183332
NMDC,0.571,2.72,1.75,1.34,1.42,1.06,0.645,-10.199876621698358,104.87518293843785
KHAITANLTD,0.0,1.5,1.88,-0.463,0.315,-0.0029,0.771,-10.174027824106805,58.441560547219474
IMPEXFERRO,0.0,1.22,0.328,0.341,0.207,-0.56,-1.13,-10.11235569781853,40.35088188943969
JINDWORLD,0.45,1.24,-0.17,-0.099,-0.149,-0.056,0.303,-10.08562520648934,6.065338556424167
ALANKIT,1.47,4.17,1.21,2.12,1.45,1.77,2.94,-10.07752312401423,100.0
DELTAMAGNT,1.7,4.82,2.88,1.27,0.73,1.35,0.862,-10.009183997383728,36.01664933948824
GALLANTT,0.916,2.01,1.86,1.48,1.17,0.845,1.88,-9.970738017128031,248.43204648667057
SONATSOFTW,0.767,-0.102,0.701,1.02,1.01,1.17,0.451,-9.80309021725978,78.8887332477765
SHAREINDIA,0.0,1.78,0.502,0.57,0.873,0.718,1.04,-9.79573359376376,61.618535755489255
GRMOVER,0.0,4.8,1.56,2.0,0.0,0.0,0.0,-9.771047311889545,-28.94870582371193
DELTACORP,2.22,3.08,1.41,1.03,1.35,1.25,1.89,-9.765767965230856,-34.00565718167535
RAILTEL,0.0,5.97,2.32,1.34,1.47,1.82,1.47,-9.753593700804068,281.07973279927097
KITEX,0.97,4.87,2.14,1.4,1.47,1.33,1.21,-9.743364284981356,41.2044942560185
