Company_Name,Return,LTP,NIFTY50
RICOAUTO,-9.403529592257913,128.04,False
IMFA,-9.39935166210619,700.25,False
MAYURUNIQ,-9.395510622316378,593.55,False
ALOKINDS,-9.357343386605294,25.67,False
WEBELSOLAR,-9.34368960381068,542.85,False
RHIM,-9.31251717259103,589.65,False
ASAHIINDIA,-9.219154664133129,643.5,False
MUNJALAU,-9.194412136293604,84.54,False
ABCAPITAL,-9.112183940346457,217.54,False
SUNDARMFIN,-9.107732288357784,4320.7,False
DYNAMATECH,-9.1074287714215,6951.6,False
UNOMINDA,-9.088379176357329,978.8,False
JAIBALAJI,-9.006177676252808,810.3,False
MHRIL,-9.005380016729134,440.05,False
MKPL,-8.978584199031038,11.05,False
PURVA,-8.96574757408958,413.25,False
CARYSIL,-8.958181530814796,757.65,False
GRAPHITE,-8.950247887419927,521.9,False
LAXMICOT,-8.909035329355705,29.14,False
HEG,-8.895247532239791,2053.0,False
5PAISA,-8.889102649451381,474.05,False
ABB,-8.840202079560319,7716.95,False
JUBLINDS,-8.81407559045181,1474.75,False
MANUGRAPH,-8.792651685108263,20.85,False
SIGIND,-8.785683015092332,77.97,False
GET&D,-8.776552754800191,1453.6,False
RAMCOCEM,-8.775723423960882,780.15,False
RPOWER,-8.75420981373874,27.1,False
TI,-8.754196623203343,236.5,False
MEDANTA,-8.739124123580403,1195.7,False
MBECL,-8.731810421836327,4.39,False
CELEBRITY,-8.723067722099614,17.37,False
ORICONENT,-8.718208070293684,36.96,False
ANMOL,-8.71623804348415,32.78,False
NRAIL,-8.711684572601161,470.5,False
SMLISUZU,-8.69575411837503,1925.15,False
ADVANIHOTR,-8.687370194333472,67.06,False
FCL,-8.646372651772783,358.7,False
DIL,-8.629445371829501,7.2,False
HCG,-8.62837528186542,348.4,False
SATIN,-8.615319784753089,214.16,False
ARCHIDPLY,-8.602868769157446,95.51,False
ADROITINFO,-8.56072945826912,17.09,False
OBEROIRLTY,-8.542662034110423,1744.0,False
ANUP,-8.53225376476001,1764.55,False
DBSTOCKBRO,-8.523823032279216,42.82,False
INTLCONV,-8.51215977997364,76.74,False
SELMC,-8.496632553462273,58.37,False
MITCON,-8.477096497598769,129.45,False
SPCENET,-8.475088588585109,30.13,False
SEPC,-8.396075312614066,18.07,False
APTECHT,-8.362031982960817,207.56,False
BAJEL,-8.339987623832823,275.2,False
SASTASUNDR,-8.298209215501743,315.5,False
SURYODAY,-8.279530359362964,177.58,False
DCAL,-8.258357883206372,159.08,False
APLAPOLLO,-8.237589179267955,1485.45,False
EROSMEDIA,-8.232928631361505,18.28,False
PRECWIRE,-8.212263666615437,151.0,False
IFGLEXPOR,-8.207701782514635,630.2,False
KALAMANDIR,-8.19681744059097,165.31,False
OMAXAUTO,-8.165800051544332,148.0,False
HAVISHA,-8.139536602982412,2.37,False
MANORAMA,-8.136966126656848,623.75,False
RPSGVENT,-8.12172615091214,701.95,False
SGL,-8.072484279298699,16.74,False
VAISHALI,-8.07204658127334,151.58,False
BHARATWIRE,-8.069645676102946,245.5,False
OSWALAGRO,-8.039556409425254,42.78,False
SHAHALLOYS,-8.039243751795592,58.11,False
VENKEYS,-8.022110107959492,1805.25,False
TASTYBITE,-8.019862736274035,9904.1,False
SAHYADRI,-8.012711456037811,390.9,False
WENDT,-8.006374444190469,14514.5,False
ENIL,-7.989357354170474,235.17,False
TATAINVEST,-7.968032618944412,6259.6,False
VIRINCHI,-7.955182330237159,32.86,False
IDEA,-7.937426809917461,15.89,False
DOLLAR,-7.910948828113209,523.25,False
TAKE,-7.908042820020654,20.03,False
HMVL,-7.89118272833498,95.48,False
GANESHHOUC,-7.88385913983818,891.5,False
KEI,-7.859648441000974,4121.3,False
ORISSAMINE,-7.836106699307495,6981.0,False
CMICABLES,-7.815628945373762,4.6,False
MAANALU,-7.779522645142961,135.02,False
USHAMART,-7.762960890118056,366.55,False
KKCL,-7.751882821277022,667.0,False
AARVI,-7.750605098373149,129.02,False
ATLANTAA,-7.731960657834386,41.17,False
BBL,-7.729423529347344,4360.8,False
REDTAPE,-7.7187522714485315,711.35,False
AARTISURF,-7.705574679008239,642.0,False
VARROC,-7.703678327122271,624.2,False
REMSONSIND,-7.70271685191439,191.0,False
KMSUGAR,-7.652714866948665,41.27,False
DYCL,-7.63401460474607,572.9,False
DEN,-7.581162853886143,51.81,False
JOCIL,-7.574276801324138,189.14,False
TIIL,-7.566722318558707,2729.0,False
NAGAFERT,-7.550073781185078,12.0,False
EDUCOMP,-7.547171339100843,2.45,False
REPRO,-7.533119655175264,614.35,False
AEROFLEX,-7.527921812383208,148.82,False
TEJASNET,-7.516992838231825,1312.75,False
ARVEE,-7.516672321839736,180.25,False
SIEMENS,-7.516513517840644,7023.15,False
BBTCL,-7.5085548469611325,243.16,False
HAVELLS,-7.487513468215012,1768.7,False
TEMBO,-7.485911804515329,221.71,False
FMGOETZE,-7.484503510568874,417.8,False
LOKESHMACH,-7.464361676691668,412.2,False
DISHTV,-7.418955524532735,14.85,False
MEDICO,-7.391092541977541,37.84,False
RAMCOIND,-7.342103707722634,240.16,False
RBZJEWEL,-7.341255252057022,127.1,False
KOPRAN,-7.326149636921523,236.55,False
BANKBARODA,-7.319096920882143,253.0,False
PRECAM,-7.315586818022552,180.18,False
SPARC,-7.308873757745606,223.33,False
SATINDLTD,-7.295951958094476,87.8,False
NGIL,-7.29310086646999,40.55,False
KOLTEPATIL,-7.271506681365904,414.45,False
AARTIPHARM,-7.266610050377011,578.1,False
VINNY,-7.256229158647296,4.09,False
DMCC,-7.249367137875354,292.35,False
PEARLPOLY,-7.245051054238378,30.47,False
SBGLP,-7.173299781585188,115.43,False
KRISHANA,-7.173213170604729,273.05,False
LODHA,-7.172599444022294,1437.85,False
GINNIFILA,-7.136235842340454,30.06,False
JSWHL,-7.1285992142420485,6884.65,False
UNIPARTS,-7.091671680505468,499.15,False
VIKASECO,-7.088606785054669,3.67,False
BFINVEST,-7.06161133167363,629.1,False
KSOLVES,-7.009444460414188,1097.8,False
JAYNECOIND,-6.971545227616081,45.77,False
URJA,-6.952591578784392,20.61,False
TNPL,-6.943156796374892,260.95,False
NEOGEN,-6.934709439737781,1560.1,False
ROML,-6.915889276522343,49.8,False
CENTRUM,-6.906756718863592,37.74,False
ORIENTBELL,-6.902920607659908,378.3,False
HCC,-6.863715720979677,46.95,False
TFCILTD,-6.84813355628529,183.09,False
NCLIND,-6.846845487445593,222.31,False
BHAGERIA,-6.826552819558769,162.01,False
MAHAPEXLTD,-6.825871515574862,159.57,False
DALMIASUG,-6.8041387943928555,395.4,False
CENTUM,-6.792154452134365,1554.8,False
GULPOLY,-6.77842366698261,191.3,False
YAARI,-6.756755139600526,9.66,False
KAMDHENU,-6.755296612742162,515.55,False
CONSOFINVT,-6.728243336519357,191.86,False
NTL,-6.713774696964081,2.64,False
SILGO,-6.6885085762994105,34.18,False
KIRLOSIND,-6.674567336308098,5828.5,False
SDBL,-6.671362126228001,106.04,False
DHANBANK,-6.65313656469908,41.39,False
RESPONIND,-6.647393094148299,290.7,False
ESAFSFB,-6.634453825894555,50.24,False
PAISALO,-6.620076686329571,70.81,False
AMBICAAGAR,-6.61550194778215,25.55,False
BAGFILMS,-6.615208908306787,8.47,False
SVPGLOB,-6.605019665280479,7.07,False
ELECTHERM,-6.604977664326739,731.75,False
ADL,-6.602361694127852,87.14,False
ASHIANA,-6.589959390766439,401.85,False
J&KBANK,-6.584297704440778,110.38,False
JSL,-6.530159474821799,748.6,False
INDSWFTLTD,-6.507791458085007,20.4,False
SBFC,-6.505488806523747,80.05,False
BODALCHEM,-6.469917006159805,74.16,False
ASHOKAMET,-6.462584687252749,19.25,False
HMAAGRO,-6.456834984013262,52.01,False
IDFCFIRSTB,-6.450453274697197,77.59,False
TAJGVK,-6.443260258809082,325.25,False
GRINDWELL,-6.408816538821288,2550.85,False
FELIX,-6.407137064071371,,False
SIGACHI,-6.398061973922962,58.08,False
BHARATFORG,-6.385165931214674,1625.45,False
ASAL,-6.380673699386941,951.5,False
ZUARIIND,-6.373232049599588,368.0,False
BAJAJELEC,-6.367820934589492,994.55,False
SUNDRMBRAK,-6.3557195117125085,730.8,False
ZUARI,-6.339385427565904,208.91,False
JINDRILL,-6.303358886315172,587.15,False
SANOFI,-6.300916487804457,6371.35,False
HARDWYN,-6.250003782020553,29.55,False
PAVNAIND,-6.246447811759478,494.55,False
SANGHIIND,-6.2457863681287655,97.27,False
RIIL,-6.2406015037593985,1247.0,False
EXCELINDUS,-6.224162399425739,1145.8,False
SPECIALITY,-6.221336322725861,165.66,False
GOCLCORP,-6.202201383659638,447.65,False
SWELECTES,-6.196320227124607,1174.0,False
RADICO,-6.192203989390714,1719.45,False
VISHWARAJ,-6.191596503090362,16.06,False
AVALON,-6.189315884483533,516.85,False
CHEMPLASTS,-6.165720636143167,528.85,False
HAL,-6.155807301538223,4997.25,False
AGSTRA,-6.141357040995605,82.07,False
IEX,-6.103239918040701,171.54,False
SAMHI,-6.098838607175787,178.6,False
EASEMYTRIP,-6.078385626586175,40.02,False
MAPMYINDIA,-6.075210935876792,2260.3,False
ADANIENT,-6.06492187056986,3000.85,True
DICIND,-6.043113822561484,520.85,False
LFIC,-6.02622819510201,207.09,False
RAJSREESUG,-6.021077494052097,74.92,False
UTTAMSUGAR,-6.020784383741418,325.45,False
JETAIRWAYS,-6.005523850284803,40.85,False
BARBEQUE,-5.988766833078716,527.45,False
SHK,-5.948969338658332,186.87,False
VINEETLAB,-5.942217729300758,57.3,False
DELTAMAGNT,-5.939391165068655,93.12,False
KOHINOOR,-5.936584927322599,41.83,False
EIHAHOTELS,-5.92858044806318,879.85,False
EXXARO,-5.923898581087063,89.25,False
FUSION,-5.923000907861954,428.85,False
VINYLINDIA,-5.915121482103806,396.85,False
VISHNU,-5.900789677807354,420.2,False
TOTAL,-5.886332214325337,111.28,False
AVG,-5.8777043087516745,476.4,False
