Company_Name,Return,LTP,NIFTY50
JOCIL,-6.078340009053449,194.23,False
BERGEPAINT,-5.801197787089491,530.3,False
SAKSOFT,-5.798529797553234,287.55,False
DMCC,-5.780061952995362,292.6,False
YATRA,-5.776299630083821,128.05,False
JAGRAN,-5.623491982376796,98.01,False
MEGASTAR,-5.587115647561261,299.1,False
RBA,-5.5437636849315,106.83,False
BLBLIMITED,-5.396827927782733,17.88,False
KOTAKBANK,-5.350571878749,1775.15,True
ORBTEXP,-5.326550741803404,176.85,False
RHIM,-5.263587826858602,590.35,False
GIRRESORTS,-5.2521847291765225,,False
AEROFLEX,-5.035222799818147,155.03,False
TATAELXSI,-4.968285377230249,6869.7,False
HDFCBANK,-4.715313046752297,1616.6,True
BAJAJFINSV,-4.663858177074916,1571.95,True
MIRZAINT,-4.620123130906074,46.45,False
STARHEALTH,-4.560664212973312,613.15,False
GVPTECH,-4.4366205838246495,13.57,False
TVSSCS,-4.333336673565765,192.29,False
SIRCA,-4.2316577680172305,353.05,False
IRMENERGY,-4.110743303466762,453.7,False
TVSELECT,-3.822831654799434,364.8,False
TIPSFILMS,-3.773578754232812,558.45,False
POONAWALLA,-3.7002944058074214,365.65,False
AHLADA,-3.587983094571486,112.32,False
MAHAPEXLTD,-3.5798834625785876,162.95,False
STLTECH,-3.4738871450109987,144.21,False
SBCL,-3.4374101124927474,658.75,False
ARCHIES,-3.3526042915416476,25.08,False
PDPL,-3.3333301544189453,,False
IPL,-3.323463690333201,212.35,False
SINTERCOM,-3.2660764396889537,129.43,False
AKSHOPTFBR,-3.1693986223314057,8.86,False
RISHABH,-3.114067016368344,429.35,False
RAIN,-3.106442384276612,161.57,False
JETAIRWAYS,-2.884154676147076,41.08,False
UNITEDPOLY,-2.874719967516189,86.83,False
UTKARSHBNK,-2.792969304427962,49.77,False
CANFINHOME,-2.74906297914515,827.8,False
SANOFI,-2.7197014462435702,6713.8,False
NUVOCO,-2.6653453715449635,345.1,False
HCL-INSYS,-2.631583350296838,16.65,False
GOCOLORS,-2.6215649375379817,1125.5,False
INDUSINDBK,-2.5680862510075144,1379.1,True
KANPRPLA,-2.438175755829718,112.44,False
PVRINOX,-2.166455830156692,1497.0,False
PODDARHOUS,-2.1505376344086025,91.0,False
IDFC,-2.035980479997729,111.63,False
AVROIND,-1.9947061565373945,111.04,False
VAIBHAVGBL,-1.9794721407624631,334.25,False
GOLDENTOBC,-1.9770128973599137,42.64,False
SAHYADRI,-1.935636992287341,397.7,False
SHOPERSTOP,-1.925803483461894,761.35,False
SHANTI,-1.8808789612686845,15.65,False
KKCL,-1.8148384402553268,668.15,False
EPL,-1.813815166049035,224.65,False
DIGJAMLMTD,-1.7375638121850532,82.0,False
SPLIL,-1.632020952115592,63.89,False
INDIGOPNTS,-1.594917114694066,1477.7,False
ESTER,-1.4173961287617074,107.11,False
SIS,-1.3782747368044528,425.75,False
MENONBE,-1.3176868254081422,130.31,False
APLAPOLLO,-1.2474612016142663,1460.55,False
CHEMCON,-1.181764787373015,263.4,False
RGL,-1.166584564879005,99.97,False
ZIMLAB,-1.0311979425228923,114.21,False
VISHWARAJ,-1.0303034926905776,16.33,False
VIVIMEDLAB,-1.0000038146972656,,False
FINOPB,-0.9329940627650553,292.0,False
KAJARIACER,-0.7391110289727428,1443.7,False
MOTOGENFIN,-0.7267845132538905,36.88,False
SYRMA,-0.5923457241885016,469.9,False
MAHESHWARI,-0.5101334726198608,66.31,False
SSWL,-0.5092008801650952,232.51,False
AVTNPL,-0.2415170693998531,86.74,False
UJJIVANSFB,-0.2272692593661221,43.9,False
EASUNREYRL,0.0,,False
RAINBOWPAP,0.0,,False
INDOSOLAR,0.0,,False
CCCL,0.0,,False
MERCATOR,0.0,,False
NAKODA,0.0,,False
RNAVAL,0.0,,False
VISUINTL,0.0,,False
BALLARPUR,0.0,,False
GBGLOBAL,0.0,,False
SHARONBIO,0.0,,
PUNJLLOYD,0.0,,False
TALWALKARS,0.0,,False
KGL,0.0,,False
VALECHAENG,0.0,,False
LEEL,0.0,,False
TINPLATE,0.0,,
JIKIND,0.0,,False
